stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
SAFARI Special Shade 4Ltr. (WHITE),,,PCS,,,,,,,,SAFARI Special Shade 4Ltr. (WHITE),,,,6,608.00,-3648.00,93d3af47fa566c34,,
Safari Special Shade 4Ltr. ( YELLOW),,,PCS,,,,,,,,Safari Special Shade 4Ltr. ( YELLOW),,,,16,648.00,-10368.00,12b52af6d985a7a7,,
Safari Special Shade 500 ML. (JOLLY HOLLY),,,PCS,,,,,,,,Safari Special Shade 500 ML. (JOLLY HOLLY),,,,60,95.00,-5700.00,9003cb37b11b7c9e,,
Safari Special Shade 500 ML. (OXFORD BLUE),,,PCS,,,,,,,,Safari Special Shade 500 ML. (OXFORD BLUE),,,,252,90.00,-22680.00,878495064ecb3b0b,,
Safari Special Shade 500 ML. (PURPLE),,,PCS,,,,,,,,Safari Special Shade 500 ML. (PURPLE),,,,79,95.00,-7505.00,e7c97accf14f3e97,,
Safari Special Shade 500 ML. (SIGNAL RED),,,PCS,,,,,,,,Safari Special Shade 500 ML. (SIGNAL RED),,,,578,95.00,-54910.00,51b5fccdbdd3001c,,
Safari Special Shade 500 ML. (SOOTHING BLUE),,,PCS,,,,,,,,Safari Special Shade 500 ML. (SOOTHING BLUE),,,,144,90.00,-12960.00,c2e55c15b20b7189,,
Safari Special Shade 500 ML. (SUNRISE),,,PCS,,,,,,,,Safari Special Shade 500 ML. (SUNRISE),,,,528,95.00,-50160.00,5c6f37bc0e555cc8,,
Safari Special Shade 500 ML. (TERRACOTTA),,,PCS,,,,,,,,Safari Special Shade 500 ML. (TERRACOTTA),,,,648,95.00,-61560.00,3fec38c00108e698,,
Safari Special Shade 500 ML. (YELLOW),,,PCS,,,,,,,,Safari Special Shade 500 ML. (YELLOW),,,,216,95.00,-20520.00,2197ba5adc17cdc4,,
Safari Special Shase 1Ltr. ( OXFORD BLUE),,,PCS,,,,,,,,Safari Special Shase 1Ltr. ( OXFORD BLUE),,,,438,155.00,-67890.00,809ab8cc41bbc84c,,
INOX DISTEMPER BUCKET,,,PCS,,,,,,,,INOX DISTEMPER BUCKET,,,,458,341.08,-156214.00,3ea67f8019ed0e95,,
INOX Acrylic Distemper 10kg (AQUAMARINE),,,PCS,,,,,,,,INOX Acrylic Distemper 10kg (AQUAMARINE),,,,30,390.00,-11700.00,1b95926c15205fbf,,
INOX Acrylic Distemper 10kg (JAIPURIA PINK),,,BKT,,,,,,,,INOX Acrylic Distemper 10kg (JAIPURIA PINK),,,,26,235.00,-6110.00,6796e9ebb757653a,,
