stock_item_name,qty,unit,rate,amount,amount_abs
SAFARI Double Bond Distemper 10kg (PISTA),27,PCS,450.00,-12150.00,12150.00
SAFARI Double Bond Distemper 10kg (SKY BLUE),12,PCS,450.00,-5400.00,5400.00
SAFARI Double Bond Distemper 10kg (SUNRISE),27,PCS,450.00,-12150.00,12150.00
SAFARI Double Bond Distemper 10kg (WHITE),20,PCS,500.00,-10000.00,10000.00
SAFARI Double Bond Distemper 10kg (YELLOW),18,PCS,475.00,-8550.00,8550.00
SAFARI Double Bond Distemper 20kg (AQUAMARINE),38,PCS,682.92,-25951.08,25951.08
SAFARI Double Bond Distemper 20kg (CANDY),5,PCS,740.00,-3700.00,3700.00
SAFARI Double Bond Distemper 20kg (DAFFODIL),39,PCS,834.87,-32560.00,32560.00
SAFARI Double Bond Distemper 20kg (ELECTRIC BLUE),6,PCS,916.67,-5500.00,5500.00
SAFARI Double Bond Distemper 20kg (JAIPURIYA PINK),5,PCS,740.00,-3700.00,3700.00
SAFARI Double Bond Distemper 20kg (JOLLY HOLLY),3,PCS,740.00,-2220.00,2220.00
SAFARI Double Bond Distemper 20kg (LIGHT GREEN),6,PCS,740.00,-4440.00,4440.00
SAFARI Double Bond Distemper 20kg (MERRY PINK),17,PCS,740.00,-12580.00,12580.00
SAFARI Double Bond Distemper 20kg (PALE CREAM),11,PCS,740.00,-8140.00,8140.00
SAFARI Double Bond Distemper 20kg (PALE ROSE),19,PCS,778.95,-14800.00,14800.00
SAFARI Double Bond Distemper 20kg (PARROT GREEN),14,PCS,740.00,-10360.00,10360.00
SAFARI Double Bond Distemper 20kg (SKY BLUE),1,PCS,740.00,-740.00,740.00
SAFARI Double Bond Distemper 20kg (SUNRISE),30,PCS,732.00,-21960.00,21960.00
SAFARI Double Bond Distemper 20kg (WHITE),21,PCS,809.76,-17004.91,17004.91
SAFARI Double Bond Distemper 20kg (WILD LILAC),5,PCS,740.00,-3700.00,3700.00
SAFARI Double Bond Distemper 5kg (AQUAMARINE),1,PCS,254.57,-254.57,254.57
SAFARI Double Bond Distemper 5kg (CANDY),16,PCS,250.00,-4000.00,4000.00
SAFARI Double Bond Distemper 5kg (DAFFODIL),52,PCS,252.23,-13115.82,13115.82
SAFARI Double Bond Distemper 5kg (ELECTRIC BLUE),25,PCS,370.00,-9250.00,9250.00
SAFARI Double Bond Distemper 5kg (JAIPURIYA PINK),32,PCS,312.50,-10000.00,10000.00
